['BO', 64, 'CO', 318, 'dot', 'mkdir', 'O0', 'O0', 0.22615535889872174, 0.06969523429870605]
['CO', 304, 'UO', 26, 'fold', 'nm', 'O2', 'O2', 0.14726394849785407, 0.9319460391998291]
['CO', 189, 'UO', 0, '[', 'locate', 'O1', 'O1', 0.11982010921940245, 0.1302928924560547]
['UO', 71, 'CO', 287, 'c++filt', 'link', 'O0', 'O2', 0.1563686780396648, 1.9778659343719482]
['CO', 316, 'BO', 13, 'test', 'ruby', 'O0', 'O1', 0.10283073367995377, 14.270118951797485]
['BO', 73, 'CO', 76, 'cluster', 'md5sum', 'O1', 'O3', 0.12517862246356104, 0.1252307891845703]
['CO', 298, 'UO', 53, 'tr', 'gprof', 'O2', 'O3', 0.133144961041185, 0.8815460205078125]
['BO', 45, 'CO', 198, 'diff', 'rm', 'O2', 'O1', 0.06806433084434238, 0.14671635627746582]
['UO', 47, 'CO', 28, 'as', 'factor', 'O3', 'O3', 0.11759636927672779, 1.4704582691192627]
['CO', 305, 'BO', 4, 'uniq', 'libgeany.so.0.0.0', 'O2', 'O2', 0.177367066077615, 27.16413116455078]
['BO', 82, 'CO', 77, 'cp', 'env', 'O3', 'O3', 0.1142646516771102, 0.07997775077819824]
['UO', 17, 'CO', 375, 'objdump', 'logname', 'O1', 'O0', 0.1381553125876086, 1.9871184825897217]
['UO', 52, 'CO', 262, 'ld', 'true', 'O3', 'O2', 0.13715224934558956, 1.5315070152282715]
['CO', 202, 'UO', 23, 'sleep', 'cmp', 'O1', 'O2', 0.04925373134328359, 0.033116817474365234]
