['BV', 72, 'CV', 301, 'perl', 'ls', 'V1', 'V1', 0.9972710951526033, 5.365684509277344]
['BV', 37, 'CV', 263, 'geany', 'unlink', 'V1', 'V1', 0.999623812658704, 2.622844696044922]
['BV', 76, 'CV', 240, 'diff', 'link', 'V2', 'V0', 0.9884393063583815, 0.10142040252685547]
['BV', 72, 'CV', 156, 'perl', 'csplit', 'V1', 'V3', 0.9984066053451148, 3.8952105045318604]
['CV', 342, 'UV', 12, 'sleep', 'c++filt', 'V1', 'V2', 0.976774758983348, 0.6901962757110596]
['BV', 62, 'CV', 282, 'diff', 'chgrp', 'V0', 'V1', 0.9620253164556962, 0.13418817520141602]
['UV', 14, 'CV', 270, 'objcopy', 'users', 'V2', 'V1', 0.9975256274301874, 0.8336567878723145]
['CV', 159, 'UV', 20, 'id', 'size', 'V3', 'V2', 0.9715242881072027, 1.2287240028381348]
['BV', 48, 'CV', 78, 'gvmap', 'rm', 'V3', 'V2', 0.9701678060907396, 0.4757571220397949]
['UV', 41, 'CV', 61, 'cmp', 'ginstall', 'V3', 'V2', 0.895855472901169, 0.17165279388427734]
['BV', 36, 'CV', 29, 'libvlc.so', 'tail', 'V2', 'V2', 0.9902697921273773, 0.71132493019104]
['UV', 79, 'CV', 138, 'strings', 'printf', 'V0', 'V3', 0.995210102329632, 1.1061046123504639]
['BV', 80, 'CV', 36, 'cluster', 'chroot', 'V1', 'V2', 0.9823529411764705, 0.268993616104126]
['CV', 85, 'BV', 5, 'mknod', 'libvlccore.so', 'V2', 'V0', 0.9920624421219738, 1.5800893306732178]
